,Good,Bad
0,"[(42.351821000000001, -71.045461000000003), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.355596000000006, -71.072780000000009)]","[(42.351312999999998, -71.116174000000001), (42.347433000000002, -71.076162999999994), (42.349672999999996, -71.077303000000001), (42.334875599999997, -71.07909690000001)]"
1,"[(42.345959000000001, -71.082577999999998), (42.351821000000001, -71.045461000000003), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.347433000000002, -71.076162999999994), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
2,"[(42.345959000000001, -71.082577999999998), (42.351821000000001, -71.045461000000003), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.347433000000002, -71.076162999999994), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
3,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.347433000000002, -71.076162999999994), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
4,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.347433000000002, -71.076162999999994), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
5,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.347433000000002, -71.076162999999994), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
6,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.347433000000002, -71.076162999999994), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
7,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.347433000000002, -71.076162999999994), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
8,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.347433000000002, -71.076162999999994), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
9,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
10,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.341521999999998, -71.068922000000001), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
11,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
12,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
13,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
14,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
15,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
16,"[(42.345959000000001, -71.082577999999998), (42.341332000000001, -71.076847000000001), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
17,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
18,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
19,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
20,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
21,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
22,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
23,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
24,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
25,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
26,"[(42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
27,"[(42.365074, -71.119581000000011), (42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
28,"[(42.365074, -71.119581000000011), (42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
29,"[(42.365074, -71.119581000000011), (42.345959000000001, -71.082577999999998), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
30,"[(42.365074, -71.119581000000011), (42.345959000000001, -71.082577999999998), (42.338622999999998, -71.074181999999993), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
31,"[(42.365074, -71.119581000000011), (42.345959000000001, -71.082577999999998), (42.338622999999998, -71.074181999999993), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
32,"[(42.365074, -71.119581000000011), (42.345959000000001, -71.082577999999998), (42.338622999999998, -71.074181999999993), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988)]","[(42.361284999999995, -71.06514), (42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
33,"[(42.365074, -71.119581000000011), (42.345959000000001, -71.082577999999998), (42.338622999999998, -71.074181999999993), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988)]","[(42.361284999999995, -71.06514), (42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
34,"[(42.365074, -71.119581000000011), (42.345959000000001, -71.082577999999998), (42.338622999999998, -71.074181999999993), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988)]","[(42.361284999999995, -71.06514), (42.351312999999998, -71.116174000000001), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.357143000000001, -71.050698999999994), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
