,CTY_SCR_DAY,CTY_SCR_NBR_DY_01
10473,0.5420778,3415
3425,0.5889441,3446
11640,0.7769975,4842
11518,0.8304681,5211
6149,0.9082946,7220
10324,0.9217994,7188
6781,0.9663369,7525
5346,0.9692536,6000
6174,0.9952553,7853
717,0.9957301,7254
11011,1.0046935,6049
8607,1.0054043,6756
11736,1.00546,5761
9752,1.0124999,6585
2812,1.0175369,7617
8103,1.0245977,6756
6355,1.0322231,6414
6168,1.0336228,7990
3651,1.0349607,7829
12127,1.0422876,6952
4575,1.0534041,5984
8652,1.0575799,6684
6718,1.0608425,8057
3470,1.062561,8135
5879,1.0641198,8006
8496,1.0666482,6800
6923,1.0737012,8320
9334,1.077265,6984
1715,1.0804962,8195
11442,1.0854294,7187
10266,1.0871683,8316
12364,1.1108468,7482
11088,1.1117605,6955
2821,1.1124742,8488
11751,1.1157385,6381
5889,1.118285,8757
10223,1.1270418,8676
10230,1.1313648,7747
11164,1.133734,7004
1888,1.143637,8611
4811,1.1469928,7188
8942,1.1511987,7419
6482,1.1575084,7212
10044,1.1600528,8087
6176,1.1635852,7436
11093,1.1684633,7353
412,1.1711141,8693
6795,1.1785618,7351
1308,1.1804248,8495
8653,1.1883354,6469
5434,1.1925143,7911
5449,1.1966706,7321
10785,1.1969367,7852
10295,1.1970206,9195
4327,1.2061892,8707
7592,1.2103216,7871
528,1.2119225,7655
2346,1.2120705,6618
9924,1.2135844,8514
2171,1.2148855,9107
2782,1.2175264,8029
11559,1.2195156,7015
8919,1.222212,6533
2904,1.2255835,7909
10478,1.2266213,9499
6686,1.2268018,9519
5840,1.2297832,7966
9771,1.2303046,7389
10897,1.2324073,7405
5905,1.2324336,9529
521,1.2352243,7206
6358,1.2356218,8134
10273,1.236046,9472
9430,1.2388248,8083
10302,1.2444274,8183
154,1.2456542,9296
3975,1.2497094,9397
3469,1.2530754,9655
11550,1.2570739,7128
8579,1.2582476,8350
12333,1.259832,9399
10125,1.2619532,8335
9485,1.2638898,7813
6702,1.2678536,9573
2968,1.2690893,6833
8682,1.2729445,9714
4518,1.2776587,7617
9349,1.2892656,8199
8325,1.2892816,8205
7009,1.2952967,10017
10271,1.295379,9960
10304,1.299469,10088
12120,1.3021171,7201
8071,1.3112614,8316
7015,1.3118843,7747
5728,1.313957,9910
5480,1.3172245,7670
8611,1.317472,7413
417,1.3197751,9674
8319,1.3203687,9327
1559,1.322389,8486
5814,1.3246325,8044
4329,1.3273691,9561
7800,1.3279979,7104
9546,1.3290493,8628
11057,1.3321749,8223
8437,1.3350298,8040
2530,1.3366284,8036
9823,1.3378905,8152
138,1.339062,7611
6429,1.3398163,8190
9839,1.341056,8141
2577,1.3422682,10262
1033,1.3467396,10020
3702,1.3479405,10157
3086,1.3526767,8770
1522,1.354074,8047
11864,1.3547545,8168
3214,1.3645107,8249
689,1.3649285,7899
11216,1.3688215,8423
7398,1.3709089,7808
8108,1.3739549,7389
