,CTY_SCR_NAME,CTY_SCR_NBR_DY_01,CTY_SCR_NBR_DY_02,CTY_SCR_NBR_WK_01,CTY_SCR_NBR_WK_02,CTY_SCR_NBR_MO_01,CTY_SCR_NBR_MO_02,CTY_SCR_NBR_QT_01,CTY_SCR_NBR_QT_02,CTY_SCR_TGT_01,CTY_SCR_AVG_01,CTY_SCR_AVG_02,CTY_SCR_DEV_01,CTY_SCR_DEV_02,ETL_LOAD_DATE,ETL_LOAD_IS_ACTIVE_FLAG,CTY_SCR_OPEN_DATA_SOURCE,CTY_SCR_METRIC_TYPE,CTY_SCR_DAY,CTY_SCR_WEEK,CTY_SCR_MONTH,CTY_SCR_QUARTER,CTY_SCR_DAY_NAME
0,HOMICIDES (TREND),0.0,,0.0,,0.19354839999999998,,0.10869569999999999,,,0.06451609999999999,0.0923913,0.30680630000000003,0.3086136,2016-06-27 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,,,1.9184988999999997,3.6892435,Friday
1,CITY SERVICES SATISFACTION SURVEYS,2.0,4.0,3.0370369999999998,27.0,3.7111110000000003,135.0,3.599489,392.0,4.0,,,,,2016-06-28 00:00:00,N,,Target,0.5,0.7592593000000001,0.9277778,0.8998723,Monday
2,BFD RESPONSE TIME,0.8451327,226.0,0.8246154,1625.0,0.8403540999999999,7003.0,0.8448984,19729.0,0.9,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,0.9390363000000002,0.9162393,0.9337268,0.938776,Monday
3,EMS RESPONSE TIME,5.775,80.0,6.2333333,583.0,6.2166667,2643.0,6.2666667,7514.0,6.0,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,1.038961,0.9625669,0.9651474,0.9574468,Monday
4,311 CALL CENTER PERFORMANCE,0.936133,1143.0,0.9087392,5687.0,0.9050554,23360.0,0.9192492,67182.0,0.95,,,,,2016-06-28 00:00:00,N,,Target,0.9854031999999999,0.9565676,0.9526899,0.9676306999999998,Monday
5,BFD INCIDENTS,230.0,,239.57142850000002,,233.38709669999997,,221.6413043,,,219.5806451,216.34782599999997,26.2154842,25.624694,2016-06-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.0686788,1.0259827,1.0531693000000002,1.0917303,Monday
6,EMS INCIDENTS,284.0,,333.0,,339.09677410000006,,329.3913043,,,317.1612903,313.8804347,28.253727500000004,27.716715500000003,2016-06-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.2162501000000001,1.0372823,1.0186325999999999,1.0370558,Monday
7,GRAFFITI ON-TIME %,1.0,29.0,0.9852940999999998,68.0,0.8821293,263.0,0.9014455,760.0,0.8,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.25,1.2316176,1.1026616000000002,1.1268069,Monday
8,MISSED TRASH ON-TIME %,0.9375,32.0,0.9680851,188.0,0.9729258,1145.0,0.9739893000000001,3190.0,0.8,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.171875,1.2101064,1.2161573,1.2174866000000002,Monday
9,PARKS MAINTENANCE ON-TIME %,0.8787879000000001,33.0,0.8986485999999999,148.0,0.8034026,529.0,0.7417763,1216.0,0.8,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.0984848999999999,1.1233108,1.0042533000000002,0.9272204,Monday
10,POTHOLE ON-TIME %,0.75,4.0,0.7878788000000001,33.0,0.8815165999999999,210.0,0.8288934000000001,976.0,0.8,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.9375,0.9848485,1.1018958,1.0361168,Monday
11,SIGN INSTALLATION ON-TIME %,1.0,9.0,0.9090908999999999,44.0,0.7897436,195.0,0.8307691999999999,585.0,0.8,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.25,1.1363636000000001,0.9871795,1.0384615,Monday
12,SIGNAL REPAIR ON-TIME %,0.5555555999999999,9.0,0.8484848,66.0,0.8575949,316.0,0.8707415000000001,998.0,0.8,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.6944445,1.060606,1.0719936,1.0884268999999998,Monday
13,STREETLIGHT ON-TIME %,0.7619048,21.0,0.4545455,88.0,0.6666667,243.0,0.6517286,781.0,0.8,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.9523809999999999,0.5681819,0.8333334000000001,0.8146608,Monday
