,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Mon Apr 23 17:45:51 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZveHc1k91W', 'expanded_url': 'https://twitter.com/i/web/status/988474041399820289', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,15,False,,988474041399820289,988474041399820289,,,,,,False,en,,False,,,,9,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Idaho, let’s join Walmart and Feeding America to “Fight Hunger. Spark Change.” by supporting local food banks. This… https://t.co/ZveHc1k91W",True,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,15,0.5061964945533524,7.592947418300286,[]
1,,,Wed Apr 18 14:58:56 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dfx1QB6MSn', 'expanded_url': 'https://twitter.com/i/web/status/986620099120386048', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,17,False,,986620099120386048,986620099120386048,,,,,,False,en,,False,,,,4,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",America and the world have lost a remarkably strong and gracious lady with the passing of Barbara Bush. Idaho joins… https://t.co/dfx1QB6MSn,True,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,17,0.6599365389135439,11.218921161530245,[]
2,,,Tue Apr 17 15:35:18 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hI6eIgZTmr', 'expanded_url': 'https://twitter.com/i/web/status/986266860982157312', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,14,False,,986266860982157312,986266860982157312,,,,,,False,en,,False,,,,5,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Great news! Idaho ranks second only to Utah nationally in the 2018 American Legislative Exchange Council’s (ALEC) S… https://t.co/hI6eIgZTmr,True,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,14,0.6414351497024895,8.980092095834852,[]
3,,,Fri Apr 13 15:45:49 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 984819766958305280, 'id_str': '984819766958305280', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/DarIXDlVMAAYHch.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DarIXDlVMAAYHch.jpg', 'url': 'https://t.co/ZIgk5b0bzS', 'display_url': 'pic.twitter.com/ZIgk5b0bzS', 'expanded_url': 'https://twitter.com/ButchOtter/status/984819955269906432/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}}}]}","{'media': [{'id': 984819766958305280, 'id_str': '984819766958305280', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/DarIXDlVMAAYHch.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DarIXDlVMAAYHch.jpg', 'url': 'https://t.co/ZIgk5b0bzS', 'display_url': 'pic.twitter.com/ZIgk5b0bzS', 'expanded_url': 'https://twitter.com/ButchOtter/status/984819955269906432/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}}}]}",7,False,,984819955269906432,984819955269906432,,,,,,False,en,,False,,,,3,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",We are just kicking off my 101st Capital for Day in Declo.  If you are in the area come join us. https://t.co/ZIgk5b0bzS,False,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,7,0.9031481535292807,6.322037074704965,[]
4,,,Thu Apr 12 17:42:54 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NJlHoNpGmY', 'expanded_url': 'https://twitter.com/i/web/status/984487033467895808', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,2,False,,984487033467895808,984487033467895808,,,,,,False,en,,False,,,,1,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","April is “Financial Literacy Month,” and today I got the chance to present awards to this year’s winners of the Pig… https://t.co/NJlHoNpGmY",True,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.7378493214899787,1.4756986429799575,[]
5,,,Wed Apr 11 19:44:01 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fjCA3uZirh', 'expanded_url': 'https://twitter.com/i/web/status/984155124791525377', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,20,False,,984155124791525377,984155124791525377,,,,,,False,en,,False,,,,10,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",It’s “Idaho Library Week”! So I’m encouraging everyone to support your local libraries throughout our state. And co… https://t.co/fjCA3uZirh,True,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,20,0.7336388654600049,14.672777309200098,[]
6,,,Tue Apr 10 20:21:45 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cspanbus', 'name': 'C-SPAN Bus', 'id': 44462409, 'id_str': '44462409', 'indices': [17, 26]}], 'urls': [{'url': 'https://t.co/DyE6SsSdfL', 'expanded_url': 'https://cs.pn/2qi3scx', 'display_url': 'cs.pn/2qi3scx', 'indices': [108, 131]}]}",,6,False,,983802235913027586,983802235913027586,,,,,,False,en,,False,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Thank you to the @CSPANBUS for meeting with me to talk about trade and policy issues in Idaho.  Watch here: https://t.co/DyE6SsSdfL,False,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,6,0.8099299465544728,4.859579679326837,[]
7,,,Mon Apr 09 21:39:15 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WIv97NkT3B', 'expanded_url': 'https://twitter.com/i/web/status/983459349451374594', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]}",,10,False,,983459349451374594,983459349451374594,,,,,,False,en,,,,,,3,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Congratulations to the Idaho State Historical Society for reaching a big milestone toward completing renovation of… https://t.co/WIv97NkT3B,True,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,10,0.6150465308620934,6.150465308620934,[]
8,,,Mon Apr 09 17:20:19 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MarsysLawforID', 'name': ""Marsy's Law for ID"", 'id': 798604964583112704, 'id_str': '798604964583112704', 'indices': [13, 28]}], 'urls': [{'url': 'https://t.co/cWFcPeuRs7', 'expanded_url': 'https://twitter.com/i/web/status/983394188048744449', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,12,False,,983394188048744449,983394188048744449,,,,,,False,en,,False,,,,5,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Thank you to @MarsysLawforID and other community leaders for joining me today as I proclaimed “Idaho Crimes Victims… https://t.co/cWFcPeuRs7,True,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,12,0.835288252656006,10.023459031872072,[]
9,,,Mon Apr 09 15:28:30 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cspanbus', 'name': 'C-SPAN Bus', 'id': 44462409, 'id_str': '44462409', 'indices': [43, 52]}], 'urls': [], 'media': [{'id': 983365996411928576, 'id_str': '983365996411928576', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/media/DaWeKeRUwAAJHqX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DaWeKeRUwAAJHqX.jpg', 'url': 'https://t.co/Vi3wPOB8KH', 'display_url': 'pic.twitter.com/Vi3wPOB8KH', 'expanded_url': 'https://twitter.com/ButchOtter/status/983366046567378944/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 780, 'resize': 'fit'}}}]}","{'media': [{'id': 983365996411928576, 'id_str': '983365996411928576', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/media/DaWeKeRUwAAJHqX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DaWeKeRUwAAJHqX.jpg', 'url': 'https://t.co/Vi3wPOB8KH', 'display_url': 'pic.twitter.com/Vi3wPOB8KH', 'expanded_url': 'https://twitter.com/ButchOtter/status/983366046567378944/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 780, 'resize': 'fit'}}}]}",7,False,,983366046567378944,983366046567378944,,,,,,False,en,,False,,,,4,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Great visit this morning with the folks at @CSPANBUS who made a stop in front of the Capitol. https://t.co/Vi3wPOB8KH,False,"{'id': 36396752, 'id_str': '36396752', 'name': 'Idaho Governor', 'screen_name': 'ButchOtter', 'location': 'Boise, Idaho, USA ', 'description': 'If you are having trouble with this account please call Jon Hanian at (208) 334-2100.', 'url': 'http://t.co/AFkwykYs3A', 'entities': {'url': {'urls': [{'url': 'http://t.co/AFkwykYs3A', 'expanded_url': 'http://gov.idaho.gov/', 'display_url': 'gov.idaho.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23431, 'friends_count': 1642, 'listed_count': 562, 'created_at': 'Wed Apr 29 16:17:00 +0000 2009', 'favourites_count': 15, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': True, 'verified': False, 'statuses_count': 1629, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '073570', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/10940676/twitter.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/190575583/butch_normal.png', 'profile_link_color': '3A5FCB', 'profile_sidebar_border_color': '6688B5', 'profile_sidebar_fill_color': 'C3C5B0', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.4933018713173429,3.4531130992214,[]
