,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Thu Jan 03 17:14:50 +0000 2013,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/V12kOkjU', 'expanded_url': 'http://ow.ly/i/1kcnr', 'display_url': 'ow.ly/i/1kcnr', 'indices': [101, 121]}]}",,4,False,,286883329670774785,286883329670774785,,,,,,False,en,,False,1,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Looking fwd to the Inaugural Celebration Jan 11 in Bismarck - Free, open public. Let's celebrate ND! http://t.co/V12kOkjU",False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,4,0.9056152343038408,3.6224609372153633,[]
1,,,Thu Nov 08 21:02:28 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/11QzHXRU', 'expanded_url': 'http://ow.ly/f8AYw', 'display_url': 'ow.ly/f8AYw', 'indices': [95, 115]}]}",,1,False,,266646897069006848,266646897069006848,,,,,,False,en,,False,0,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Thank you North Dakota for your support, trust and enthusiasm! We are honored to work for you. http://t.co/11QzHXRU",False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.9649884322328633,0.9649884322328633,[]
2,,,Tue Nov 06 14:45:40 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JeXObO8H', 'expanded_url': 'https://vip.sos.nd.gov/WhereToVote.aspx?tab=0', 'display_url': 'vip.sos.nd.gov/WhereToVote.as…', 'indices': [45, 66]}]}",,3,False,,265827294134796288,265827294134796288,,,,,,False,en,,False,1,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",VOTE! Find your polling location/hours here: https://t.co/JeXObO8H,False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.4815565318482077,1.4446695955446232,[]
3,,,Tue Nov 06 14:42:47 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/8HwqNiyl', 'expanded_url': 'http://ow.ly/f3Txw', 'display_url': 'ow.ly/f3Txw', 'indices': [30, 50]}]}",,0,False,,265826568671199233,265826568671199233,,,,,,False,en,,False,0,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",The Wrigleys go to the polls! http://t.co/8HwqNiyl,False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.8269105125754385,0.0,[]
4,,,Tue Nov 06 01:38:08 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/JH7pXlxO', 'expanded_url': 'http://ow.ly/f33Q3', 'display_url': 'ow.ly/f33Q3', 'indices': [64, 84]}]}",,1,False,,265629104496312321,265629104496312321,,,,,,False,en,,False,0,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",We back Jack! Watch our great volunteers show their enthusiasm! http://t.co/JH7pXlxO,False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.8566740011897379,0.8566740011897379,[]
5,,,Mon Nov 05 00:17:53 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/97jEUrD4', 'expanded_url': 'http://ow.ly/f0P5K', 'display_url': 'ow.ly/f0P5K', 'indices': [95, 115]}]}",,0,False,,265246522227171329,265246522227171329,,,,,,False,en,,False,1,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Wow! What a crowd - thank you Fargo for your support and encouragement, every step of the way! http://t.co/97jEUrD4",False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.9736439785447589,0.0,[]
6,,,Sun Nov 04 21:21:58 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/CaUToRF6', 'expanded_url': 'http://ow.ly/f0GyJ', 'display_url': 'ow.ly/f0GyJ', 'indices': [23, 43]}]}",,0,False,,265202252980051969,265202252980051969,,,,,,False,en,,False,0,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Thank you Grand Forks! http://t.co/CaUToRF6,False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.9811746405090427,0.0,[]
7,,,Sun Nov 04 16:10:45 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NDGOP', 'name': 'ND Republican Party', 'id': 31524003, 'id_str': '31524003', 'indices': [32, 38]}], 'urls': [{'url': 'http://t.co/IM2Us6Me', 'expanded_url': 'http://ow.ly/f0rr2', 'display_url': 'ow.ly/f0rr2', 'indices': [93, 113]}]}",,0,False,,265123930782724097,265123930782724097,,,,,,False,en,,False,0,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","On the road again! Day 2 of our @NDGOP bus tour, headed to Grand Forks, Fargo and Jamestown! http://t.co/IM2Us6Me",False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.4986363546209621,0.0,[]
8,,,Sat Nov 03 22:41:07 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/AvrVHf4u', 'expanded_url': 'http://ow.ly/eZY4d', 'display_url': 'ow.ly/eZY4d', 'indices': [93, 113]}]}",,0,False,,264859779846004736,264859779846004736,,,,,,False,en,,False,0,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Had a great time in Williston - thanks to all of our volunteers, supporters and legislators! http://t.co/AvrVHf4u Next up ... Dickinson!",False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.8875631076697423,0.0,[]
9,,,Sat Nov 03 20:05:22 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/PXXcmc6m', 'expanded_url': 'http://ow.ly/eZRMc', 'display_url': 'ow.ly/eZRMc', 'indices': [43, 63]}]}",,0,False,,264820584511307778,264820584511307778,,,,,,False,en,,False,0,False,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Stopped in Stanley to enjoy a Whirla Whip! http://t.co/PXXcmc6m,False,"{'id': 236975376, 'id_str': '236975376', 'name': 'Jack Dalrymple', 'screen_name': 'DalrympleforGov', 'location': 'Bismarck, ND', 'description': 'Official Twitter of the Governor of North Dakota.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1830, 'friends_count': 152, 'listed_count': 158, 'created_at': 'Tue Jan 11 20:03:37 +0000 2011', 'favourites_count': 0, 'utc_offset': -21600, 'time_zone': 'Mountain Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 964, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4183D0', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/394012246/Logo_Dalrymple.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2365240914/st5x6s275qupjtnximcp_normal.jpeg', 'profile_link_color': '68450B', 'profile_sidebar_border_color': 'E4DECA', 'profile_sidebar_fill_color': 'E1DEB7', 'profile_text_color': 'C8A852', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.9142059428160285,0.0,[]
