,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Mon Mar 30 13:48:37 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/NEm3Nn1bYP', 'expanded_url': 'http://1.usa.gov/1EqfOm3', 'display_url': '1.usa.gov/1EqfOm3', 'indices': [114, 136]}]}",,0,False,,582539931991441408,582539931991441408,,,,,,False,en,,False,0,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",Tax Relief Now: Over the last 19 months I have logged tens of thousands of miles crisscrossing our great state... http://t.co/NEm3Nn1bYP,False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.19036088042054536,0.0,[]
1,,,Thu Mar 26 16:08:34 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/BcULg5etSy', 'expanded_url': 'http://1.usa.gov/1HNHWgF', 'display_url': '1.usa.gov/1HNHWgF', 'indices': [114, 136]}]}",,7,False,,581125599462170624,581125599462170624,,,,,,False,en,,False,6,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","GOV. RICKETTS STATES SUPPORT FOR LAW ENFORCMENT: Lincoln – Today, Governor Pete Ricketts called on Senator Ern... http://t.co/BcULg5etSy",False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.48503611125751894,3.3952527788026328,[]
2,,,Tue Mar 24 17:50:18 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/RkKapLwXwU', 'expanded_url': 'http://1.usa.gov/1HxJ4EM', 'display_url': '1.usa.gov/1HxJ4EM', 'indices': [114, 136]}]}",,1,False,,580426427507568642,580426427507568642,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","GOV. RICKETTS NAMES VETERAN AS NEXT DAS DIRECTOR: Lincoln – Today, Governor Pete Ricketts announced that U.S. ... http://t.co/RkKapLwXwU",False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.6460437480910075,0.6460437480910075,[]
3,,,Tue Mar 24 14:11:57 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/PemEkDxYcv', 'expanded_url': 'http://1.usa.gov/1Hwp2up', 'display_url': '1.usa.gov/1Hwp2up', 'indices': [114, 136]}]}",,0,False,,580371478375309312,580371478375309312,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",Reject Obamacare in Nebraska: This month marks the fifth anniversary of the enactment of President Obama’s hea... http://t.co/PemEkDxYcv,False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.5201044227447014,0.0,[]
4,,,Thu Mar 19 17:05:55 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/zc1TwGtRhs', 'expanded_url': 'http://1.usa.gov/1CxzAdr', 'display_url': '1.usa.gov/1CxzAdr', 'indices': [114, 136]}]}",,1,False,,578603315577012224,578603315577012224,,,,,,False,en,,False,0,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Gov. Ricketts Unveils Ag Magazine, Ag Poster Contest Winners: Lincoln – Today, Gov. Pete Ricketts unveiled the... http://t.co/zc1TwGtRhs",False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.5705786524429981,0.5705786524429981,[]
5,,,Thu Mar 12 13:08:30 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/FxhQyXjmo5', 'expanded_url': 'http://1.usa.gov/1D9LafW', 'display_url': '1.usa.gov/1D9LafW', 'indices': [114, 136]}]}",,2,False,,576006853739446272,576006853739446272,,,,,,False,en,,False,0,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","GOV. RICKETTS NAMES STATE PATROL SUPERINTENDENT: Lincoln – Today, Governor Pete Ricketts announced that Bradle... http://t.co/FxhQyXjmo5",False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.7145142531818908,1.4290285063637815,[]
6,,,Wed Mar 11 19:26:34 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/CxuxpAy9IB', 'expanded_url': 'http://1.usa.gov/1EYJoxq', 'display_url': '1.usa.gov/1EYJoxq', 'indices': [114, 136]}]}",,1,False,,575739609683918849,575739609683918849,,,,,,False,en,,False,0,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Gov. Ricketts: “Nebraska’s Farmers and Ranchers Need Property Tax Relief Now”: Lincoln – Today, Governor Ricke... http://t.co/CxuxpAy9IB",False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.5491829008204138,0.5491829008204138,[]
7,,,Tue Mar 10 15:27:43 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/FKsE782qf9', 'expanded_url': 'http://1.usa.gov/1GnFbSi', 'display_url': '1.usa.gov/1GnFbSi', 'indices': [114, 136]}]}",,0,False,,575317112740143106,575317112740143106,,,,,,False,en,,False,0,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Growing Exports, Importing Opportunity: Last week, I joined more than 300 Nebraskans to talk about the future ... http://t.co/FKsE782qf9",False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.7445677956177374,0.0,[]
8,,,Tue Mar 10 14:33:06 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/Mb12bUECCh', 'expanded_url': 'http://1.usa.gov/1D0jmux', 'display_url': '1.usa.gov/1D0jmux', 'indices': [114, 136]}]}",,0,False,,575303369142575104,575303369142575104,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","GOV. RICKETTS, AG GROUPS SUPPORT FEDERAL TRADE PROMOTION AUTHORITY: Lincoln – Nebraska Governor Pete Ricketts ... http://t.co/Mb12bUECCh",False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.6381332301594005,0.0,[]
9,,,Fri Mar 06 15:31:45 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/0TXfEi6zDB', 'expanded_url': 'http://1.usa.gov/1CHl7Na', 'display_url': '1.usa.gov/1CHl7Na', 'indices': [114, 136]}]}",,0,False,,573868577452781568,573868577452781568,,,,,,False,en,,False,2,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",Gov. Ricketts Announces Domestic Beef Promotion Activity in New York City: Kearney – Gov. Pete Ricketts this a... http://t.co/0TXfEi6zDB,False,"{'id': 19396002, 'id_str': '19396002', 'name': 'Dave Heineman', 'screen_name': 'DaveEHeineman', 'location': 'Lincoln, NE', 'description': 'Former Governor of Nebraska', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4711, 'friends_count': 0, 'listed_count': 308, 'created_at': 'Fri Jan 23 14:35:12 +0000 2009', 'favourites_count': 0, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 2062, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '022330', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552853019130204160/E5T5eRQz_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.5248006110159443,0.0,[]
