,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Wed Jan 16 16:57:43 +0000 2013,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GovInslee', 'name': 'Governor Jay Inslee', 'id': 1077214808, 'id_str': '1077214808', 'indices': [90, 100]}], 'urls': []}",,20,False,,291590064880893952,291590064880893952,,,,,,False,en,,,26,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thank you Washington state for a wonderful eight years. You have my gratitude and thanks. @GovInslee, congratulations and welcome.",False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,20,0.9335619257076971,18.67123851415394,[]
1,,,Sat Jan 12 01:26:12 +0000 2013,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/rWiKtMUv', 'expanded_url': 'http://1.usa.gov/10nhMjy', 'display_url': '1.usa.gov/10nhMjy', 'indices': [100, 120]}]}",,9,False,,289906091175837696,289906091175837696,,,,,,False,en,,False,14,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Need the 12th man this weekend! I have a box of WA apples on the line. Confident in a Seahawks win! http://t.co/rWiKtMUv,False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.46483465058707213,4.183511855283649,[]
2,,,Wed Jan 02 20:26:18 +0000 2013,"{'hashtags': [{'text': 'fiscalcliff', 'indices': [36, 48]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/4teNYp0n', 'expanded_url': 'http://wh.gov/UNjo', 'display_url': 'wh.gov/UNjo', 'indices': [55, 75]}], 'media': [{'id': 286529069091262464, 'id_str': '286529069091262464', 'indices': [76, 96], 'media_url': 'http://pbs.twimg.com/media/A_n0q5UCEAAjQp7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/A_n0q5UCEAAjQp7.jpg', 'url': 'http://t.co/dHfOrZ3d', 'display_url': 'pic.twitter.com/dHfOrZ3d', 'expanded_url': 'https://twitter.com/whitehouse/status/286529069087068160/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 520, 'h': 900, 'resize': 'fit'}, 'small': {'w': 393, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 520, 'h': 900, 'resize': 'fit'}}, 'source_status_id': 286529069087068160, 'source_status_id_str': '286529069087068160', 'source_user_id': 30313925, 'source_user_id_str': '30313925'}]}","{'media': [{'id': 286529069091262464, 'id_str': '286529069091262464', 'indices': [76, 96], 'media_url': 'http://pbs.twimg.com/media/A_n0q5UCEAAjQp7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/A_n0q5UCEAAjQp7.jpg', 'url': 'http://t.co/dHfOrZ3d', 'display_url': 'pic.twitter.com/dHfOrZ3d', 'expanded_url': 'https://twitter.com/whitehouse/status/286529069087068160/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 520, 'h': 900, 'resize': 'fit'}, 'small': {'w': 393, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 520, 'h': 900, 'resize': 'fit'}}, 'source_status_id': 286529069087068160, 'source_status_id_str': '286529069087068160', 'source_user_id': 30313925, 'source_user_id_str': '30313925'}]}",4,False,,286569126871322624,286569126871322624,,,,,,False,en,,False,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",7 things you need to know about the #fiscalcliff deal: http://t.co/4teNYp0n http://t.co/dHfOrZ3d,False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,4,0.9005933166530424,3.6023732666121697,['fiscalcliff']
3,,,Thu Dec 20 22:47:46 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,10,False,,281893683945697280,281893683945697280,,,,,,False,en,,,77,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Please join millions across the country Friday morning at 9:30 am local time for a moment of silence honoring the victims of Sandy Hook.,False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.4554109752897876,4.554109752897876,[]
4,,,Wed Dec 19 23:19:49 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/B4oiPVgk', 'expanded_url': 'http://1.usa.gov/ZjSoe0', 'display_url': '1.usa.gov/ZjSoe0', 'indices': [106, 126]}]}",,2,False,,281539361563082753,281539361563082753,,,,,,False,en,,False,3,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Unemployment rate at 7.8%--we haven’t seen that number for too long. Must continue to get people to work. http://t.co/B4oiPVgk,False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.11162651948328373,0.22325303896656745,[]
5,,,Sat Dec 15 01:43:56 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,6,False,,279763692978057216,279763692978057216,,,,,,False,en,,,26,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Great news WA! Amazon has announced a new fulfillment center in DuPont with as many as 600 new full-time jobs. A welcome boost!,False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,6,0.8482553056002431,5.089531833601459,[]
6,,,Fri Dec 14 18:58:19 +0000 2012,"{'hashtags': [{'text': 'Connecticut', 'indices': [77, 89]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,3,False,,279661615576657920,279661615576657920,,,,,,False,en,,,17,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today our hearts and prayers are with our friends, family and the people of  #Connecticut",False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,3,0.684226653346186,2.0526799600385583,['Connecticut']
7,,,Tue Dec 11 00:27:16 +0000 2012,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BerthaDigsSR99', 'name': 'SR 99', 'id': 995811961, 'id_str': '995811961', 'indices': [8, 23]}], 'urls': []}",,1,False,,278294848212189184,278294848212189184,,,,,,False,en,,,3,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Welcome @BerthaDigsSR99, we can't wait to meet you!",False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.9829660694223837,0.9829660694223837,[]
8,,,Sat Dec 08 01:45:01 +0000 2012,"{'hashtags': [{'text': 'AsktheGov', 'indices': [59, 69]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KCTS9', 'name': 'KCTS 9', 'id': 16745147, 'id_str': '16745147', 'indices': [6, 12]}, {'screen_name': 'enriquecerna', 'name': 'Enrique Cerna', 'id': 236928968, 'id_str': '236928968', 'indices': [76, 89]}], 'urls': [], 'media': [{'id': 277227246975057920, 'id_str': '277227246975057920', 'indices': [115, 135], 'media_url': 'http://pbs.twimg.com/media/A9jotloCAAAsRwt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/A9jotloCAAAsRwt.jpg', 'url': 'http://t.co/rFCAOXmO', 'display_url': 'pic.twitter.com/rFCAOXmO', 'expanded_url': 'https://twitter.com/GovGregoire/status/277227246966669313/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1004, 'resize': 'fit'}, 'small': {'w': 680, 'h': 333, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 588, 'resize': 'fit'}}}]}","{'media': [{'id': 277227246975057920, 'id_str': '277227246975057920', 'indices': [115, 135], 'media_url': 'http://pbs.twimg.com/media/A9jotloCAAAsRwt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/A9jotloCAAAsRwt.jpg', 'url': 'http://t.co/rFCAOXmO', 'display_url': 'pic.twitter.com/rFCAOXmO', 'expanded_url': 'https://twitter.com/GovGregoire/status/277227246966669313/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1004, 'resize': 'fit'}, 'small': {'w': 680, 'h': 333, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 588, 'resize': 'fit'}}}]}",4,False,,277227246966669313,277227246966669313,,,,,,False,en,,False,3,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Kudos @KCTS9 for tackling complicated issues. 18 visits to #AsktheGov &amp; @enriquecerna is always a pro! Thanks. http://t.co/rFCAOXmO,False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,4,0.9227158108629258,3.690863243451703,['AsktheGov']
9,,,Fri Dec 07 19:18:00 +0000 2012,"{'hashtags': [{'text': 'PearlHarbor', 'indices': [84, 96]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,0,False,,277129853944332288,277129853944332288,,,,,,False,en,,,7,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Thanks to all of our Veterans--remembering those who served and lost their lives at #PearlHarbor.,False,"{'id': 39348261, 'id_str': '39348261', 'name': 'Chris Gregoire', 'screen_name': 'GovGregoire', 'location': 'Olympia,WA', 'description': 'Governor, State of Washington', 'url': 'http://t.co/be9UDzGsZO', 'entities': {'url': {'urls': [{'url': 'http://t.co/be9UDzGsZO', 'expanded_url': 'http://www.governor.wa.gov', 'display_url': 'governor.wa.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9603, 'friends_count': 36, 'listed_count': 701, 'created_at': 'Mon May 11 21:35:09 +0000 2009', 'favourites_count': 0, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 467, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'DFDFDD', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/12718446/Gov_Twitter_background_blue_fade.jpg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409653703/9zgjc23lt65mywp0bg96_normal.jpeg', 'profile_link_color': '333333', 'profile_sidebar_border_color': '042C59', 'profile_sidebar_fill_color': 'ECECF3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.17912920151077089,0.0,['PearlHarbor']
