,contributors,coordinates,created_at,entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Tue Jun 02 20:33:13 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/OJ6rT1Jbu7', 'expanded_url': 'http://1.usa.gov/1M2a41A', 'display_url': '1.usa.gov/1M2a41A', 'indices': [114, 136]}]}",2,False,,605834575936290817,605834575936290817,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","News: Media Advisory: Governor LePage to Help Announce Broadband Expansion: For Immediate Release: Tuesday, Ju... http://t.co/OJ6rT1Jbu7",False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.8290875124674499,1.6581750249348999,[]
1,,,Tue Nov 25 17:48:18 +0000 2014,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/R0guDHp0H1', 'expanded_url': 'http://1.usa.gov/1rcceGL', 'display_url': '1.usa.gov/1rcceGL', 'indices': [114, 136]}]}",3,False,,537301766883131392,537301766883131392,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",News: Governor LePage Encourages Thanksgiving Travelers to be Cautious and Safe: For Immediate Release: Tuesda... http://t.co/R0guDHp0H1,False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,3,0.8666097267854052,2.5998291803562155,[]
2,,,Fri Sep 26 18:04:49 +0000 2014,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/QUJGXNvxij', 'expanded_url': 'http://1.usa.gov/YkjfHi', 'display_url': '1.usa.gov/YkjfHi', 'indices': [114, 136]}]}",5,False,,515562650839707648,515562650839707648,,,,,,False,en,,False,6,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",News: Media Advisory: Governor LePage to Visit Jotul to Welcome Jobs back to Maine: For Immediate Release: Fri... http://t.co/QUJGXNvxij,False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,5,0.7003563679384947,3.501781839692473,[]
3,,,Wed Sep 24 15:33:06 +0000 2014,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/5FhUvVPNK7', 'expanded_url': 'http://1.usa.gov/1mSy1RQ', 'display_url': '1.usa.gov/1mSy1RQ', 'indices': [114, 136]}]}",3,False,,514799695638429697,514799695638429697,,,,,,False,en,,False,5,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","News: Governor LePage Requests House Members Support Natural Gas Expansion: For Immediate Release: Wednesday, ... http://t.co/5FhUvVPNK7",False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,3,0.8160448865932828,2.448134659779848,[]
4,,,Wed Sep 24 04:32:40 +0000 2014,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/2D9PlJC8bx', 'expanded_url': 'http://1.usa.gov/XZhRd2', 'display_url': '1.usa.gov/XZhRd2', 'indices': [114, 136]}]}",3,False,,514633492060045312,514633492060045312,,,,,,False,en,,False,4,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",Wkly Radio Address: Welfare Reform Works and is Proving Successful for Mainers: For many years the State of Ma... http://t.co/2D9PlJC8bx,False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,3,0.8101195622702521,2.4303586868107563,[]
5,,,Tue Sep 23 15:28:23 +0000 2014,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/KlJjXLhRmo', 'expanded_url': 'http://1.usa.gov/Y1xtgr', 'display_url': '1.usa.gov/Y1xtgr', 'indices': [114, 136]}]}",2,False,,514436118222090240,514436118222090240,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","News: LePage Administration, Volunteers Kick-off State Charitable Campaign: For Immediate Release: Tuesday, Se... http://t.co/KlJjXLhRmo",False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.8920745665857126,1.7841491331714252,[]
6,,,Mon Sep 22 19:50:23 +0000 2014,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/ULH41Nhnok', 'expanded_url': 'http://1.usa.gov/1v0qNuT', 'display_url': '1.usa.gov/1v0qNuT', 'indices': [114, 136]}]}",2,False,,514139665889120256,514139665889120256,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",News: Media Advisory: Maine State Employees' Combined Charitable Appeal Kick-off Event: For Immediate Release:... http://t.co/ULH41Nhnok,False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.8778333844481551,1.7556667688963101,[]
7,,,Mon Sep 22 18:36:03 +0000 2014,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/Wzh2jF7D7y', 'expanded_url': 'http://1.usa.gov/1sin4Lr', 'display_url': '1.usa.gov/1sin4Lr', 'indices': [114, 136]}]}",2,False,,514120960341839872,514120960341839872,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","News: First Lady Ann LePage Joins CASAColumbia Celebrates Family Day: For Immediate Release: Monday, September... http://t.co/Wzh2jF7D7y",False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.9410481478625354,1.8820962957250709,[]
8,,,Mon Sep 22 17:40:23 +0000 2014,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/mEn7EiP5Jv', 'expanded_url': 'http://1.usa.gov/1rh6c3V', 'display_url': '1.usa.gov/1rh6c3V', 'indices': [114, 136]}]}",2,False,,514106950141763585,514106950141763585,,,,,,False,en,,False,3,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",News: Governor LePage to NFL Commissioner: Unite with Governors Against Domestic Violence: For Immediate Relea... http://t.co/mEn7EiP5Jv,False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.75952587981582,1.51905175963164,[]
9,,,Fri Sep 19 16:29:51 +0000 2014,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/TMTN6owLw3', 'expanded_url': 'http://1.usa.gov/1wwrRa3', 'display_url': '1.usa.gov/1wwrRa3', 'indices': [114, 136]}]}",2,False,,513002036795699203,513002036795699203,,,,,,False,en,,False,1,False,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",News: Unemployment Rate is 5.6%; Percent of Mainers Working Remains Higher than National Average: For Immediat... http://t.co/TMTN6owLw3,False,"{'id': 242797777, 'id_str': '242797777', 'name': 'Paul LePage', 'screen_name': 'MEGovernorNews', 'location': 'Augusta, Maine', 'description': ""Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office."", 'url': 'http://t.co/0103yTlUb2', 'entities': {'url': {'urls': [{'url': 'http://t.co/0103yTlUb2', 'expanded_url': 'http://www.maine.gov/governor', 'display_url': 'maine.gov/governor', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3845, 'friends_count': 20, 'listed_count': 186, 'created_at': 'Tue Jan 25 16:34:47 +0000 2011', 'favourites_count': 0, 'utc_offset': -10800, 'time_zone': 'Atlantic Time (Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 1034, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F294E', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/605943969/jld8q52636pnzm2r3vyr.jpeg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2403696348/c701t3zd2qqb6gl4zp8u_normal.jpeg', 'profile_link_color': '093246', 'profile_sidebar_border_color': '11B3CA', 'profile_sidebar_fill_color': 'F9FEA6', 'profile_text_color': '002038', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.436741781829313,0.873483563658626,[]
