,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Sat Feb 27 17:14:03 +0000 2016,"{'hashtags': [{'text': 'ImWithHer', 'indices': [106, 116]}], 'symbols': [], 'user_mentions': [{'screen_name': 'HillaryClinton', 'name': 'Hillary Clinton', 'id': 1339835893, 'id_str': '1339835893', 'indices': [25, 40]}], 'urls': [], 'media': [{'id': 703629176847409152, 'id_str': '703629176847409152', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/media/CcPLAiOXIAAQ9PS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CcPLAiOXIAAQ9PS.jpg', 'url': 'https://t.co/TpOysxyw28', 'display_url': 'pic.twitter.com/TpOysxyw28', 'expanded_url': 'https://twitter.com/MikeBeebeAR/status/703629177593974786/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1375, 'h': 1988, 'resize': 'fit'}, 'small': {'w': 470, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 830, 'h': 1200, 'resize': 'fit'}}}]}","{'media': [{'id': 703629176847409152, 'id_str': '703629176847409152', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/media/CcPLAiOXIAAQ9PS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CcPLAiOXIAAQ9PS.jpg', 'url': 'https://t.co/TpOysxyw28', 'display_url': 'pic.twitter.com/TpOysxyw28', 'expanded_url': 'https://twitter.com/MikeBeebeAR/status/703629177593974786/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1375, 'h': 1988, 'resize': 'fit'}, 'small': {'w': 470, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 830, 'h': 1200, 'resize': 'fit'}}}]}",35,False,,703629177593974786,703629177593974786,,,,,,False,en,,False,8,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I was honored to present @HillaryClinton with a gift from Taiwan's President-elect, Tsai Ing-wen, in L.A. #ImWithHer https://t.co/TpOysxyw28",False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,35,0.7882836434660999,27.5899275213135,['ImWithHer']
1,,,Sun Jan 17 21:51:02 +0000 2016,"{'hashtags': [{'text': 'progresswithTsai', 'indices': [81, 98]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,2,False,,688840979298799616,688840979298799616,,,,,,False,en,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",We look forward to serving our clients in our two countries. @RobertsLawFirmWins #progresswithTsai,False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.8737237141442464,1.7474474282884929,['progresswithTsai']
2,,,Sun Jan 17 21:50:47 +0000 2016,"{'hashtags': [{'text': 'progresswithTsai', 'indices': [102, 119]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,2,False,,688840916514279424,688840916514279424,,,,,,False,en,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@RobertsLawFirmWins congratulates our friend Dr. Tsai Ing-wen on her election as President of Taiwan. #progresswithTsai,False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.5902061695739783,1.1804123391479566,['progresswithTsai']
3,,,Thu Jan 14 20:41:06 +0000 2016,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 687736218809810944, 'id_str': '687736218809810944', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/CYtUcn1UQAAFyH4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CYtUcn1UQAAFyH4.jpg', 'url': 'https://t.co/LkUmLm6sSb', 'display_url': 'pic.twitter.com/LkUmLm6sSb', 'expanded_url': 'https://twitter.com/MikeBeebeAR/status/687736219317354496/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 463, 'h': 356, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 463, 'h': 356, 'resize': 'fit'}, 'small': {'w': 463, 'h': 356, 'resize': 'fit'}}}]}","{'media': [{'id': 687736218809810944, 'id_str': '687736218809810944', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/CYtUcn1UQAAFyH4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CYtUcn1UQAAFyH4.jpg', 'url': 'https://t.co/LkUmLm6sSb', 'display_url': 'pic.twitter.com/LkUmLm6sSb', 'expanded_url': 'https://twitter.com/MikeBeebeAR/status/687736219317354496/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 463, 'h': 356, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 463, 'h': 356, 'resize': 'fit'}, 'small': {'w': 463, 'h': 356, 'resize': 'fit'}}}]}",9,False,,687736219317354496,687736219317354496,,,,,,False,en,,False,9,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Mike Beebe's statement on the death of former Arkansas Chief Justice Jim Hannah. https://t.co/LkUmLm6sSb,False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,9,0.699944662126216,6.299501959135943,[]
4,,,Sat Jan 02 18:05:00 +0000 2016,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,15,False,,683348280219185152,683348280219185152,,,,,,False,en,,,10,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(4/4) ""...for the Arkansans who carried him from a Charleston, Arkansas, law office to the halls of the U.S. Senate.” - Mike Beebe",False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,15,0.6625607718041089,9.938411577061633,[]
5,,,Sat Jan 02 18:04:35 +0000 2016,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,11,False,,683348174677897216,683348174677897216,,,,,,False,en,,,8,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(3/4) “...and inspired the detached to become involved citizens. He paired his light-hearted swagger with his unabashed love...""",False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,11,0.8707236321761249,9.577959953937373,[]
6,,,Sat Jan 02 18:03:42 +0000 2016,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,14,False,,683347953378025472,683347953378025472,,,,,,False,en,,,10,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(2/4) “An elite public speaker, Dale's passion for good policy and responsible government brought opponents to common ground...""",False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,14,0.8800040994541678,12.320057392358349,[]
7,,,Sat Jan 02 18:03:10 +0000 2016,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,22,False,,683347816865988609,683347816865988609,,,,,,False,en,,,12,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","(1/4) “Dale Bumpers gave me my start in public service and remained my dear friend and mentor throughout the decades that followed.""",False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,22,0.6859305616740391,15.09047235682886,[]
8,,,Sat Sep 26 14:52:42 +0000 2015,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 647785874122346496, 'id_str': '647785874122346496', 'indices': [118, 140], 'media_url': 'http://pbs.twimg.com/media/CP1l0gWUEAAq76h.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CP1l0gWUEAAq76h.jpg', 'url': 'http://t.co/xDNCkQbkGH', 'display_url': 'pic.twitter.com/xDNCkQbkGH', 'expanded_url': 'https://twitter.com/MikeBeebeAR/status/647785875850588160/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1989, 'h': 1613, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 973, 'resize': 'fit'}, 'small': {'w': 680, 'h': 551, 'resize': 'fit'}}}]}","{'media': [{'id': 647785874122346496, 'id_str': '647785874122346496', 'indices': [118, 140], 'media_url': 'http://pbs.twimg.com/media/CP1l0gWUEAAq76h.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CP1l0gWUEAAq76h.jpg', 'url': 'http://t.co/xDNCkQbkGH', 'display_url': 'pic.twitter.com/xDNCkQbkGH', 'expanded_url': 'https://twitter.com/MikeBeebeAR/status/647785875850588160/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1989, 'h': 1613, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 973, 'resize': 'fit'}, 'small': {'w': 680, 'h': 551, 'resize': 'fit'}}}]}",41,False,,647785875850588160,647785875850588160,,,,,,False,en,,False,22,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bill Keedy telling stories about one of his dearest friends, Mike Beebe, in Newport, 2005. We'll all miss you, Coach. http://t.co/xDNCkQbkGH",False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,41,0.6722492593472718,27.562219633238144,[]
9,,,Mon Apr 27 13:40:30 +0000 2015,"{'hashtags': [{'text': 'ARTornado', 'indices': [104, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 592684748461449216, 'id_str': '592684748461449216', 'indices': [116, 138], 'media_url': 'http://pbs.twimg.com/media/CDmjo3fWIAACtfp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CDmjo3fWIAACtfp.jpg', 'url': 'http://t.co/4zYpyLc4ot', 'display_url': 'pic.twitter.com/4zYpyLc4ot', 'expanded_url': 'https://twitter.com/MikeBeebeAR/status/592684750382440451/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1367, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 801, 'resize': 'fit'}}}]}","{'media': [{'id': 592684748461449216, 'id_str': '592684748461449216', 'indices': [116, 138], 'media_url': 'http://pbs.twimg.com/media/CDmjo3fWIAACtfp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CDmjo3fWIAACtfp.jpg', 'url': 'http://t.co/4zYpyLc4ot', 'display_url': 'pic.twitter.com/4zYpyLc4ot', 'expanded_url': 'https://twitter.com/MikeBeebeAR/status/592684750382440451/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1367, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 801, 'resize': 'fit'}}}]}",47,False,,592684750382440451,592684750382440451,,,,,,False,en,,False,41,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Remembering all the resilient victims and selfless volunteers we met in the weeks following the 4/27/14 #ARTornado. http://t.co/4zYpyLc4ot,False,"{'id': 39556712, 'id_str': '39556712', 'name': 'Mike Beebe', 'screen_name': 'MikeBeebeAR', 'location': 'Searcy, Arkansas', 'description': ""Arkansas's 45th Governor. Account maintained by former staff."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 17570, 'friends_count': 319, 'listed_count': 425, 'created_at': 'Tue May 12 18:08:28 +0000 2009', 'favourites_count': 6, 'utc_offset': -18000, 'time_zone': 'Central Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 729, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/2409165736/mlqj7qo5tqod9gbgoaba_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39556712/1400090708', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,47,0.9013542923052216,42.36365173834541,['ARTornado']
