,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Fri Apr 27 20:42:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ye65OhHB8V', 'expanded_url': 'https://twitter.com/i/web/status/989967924856160256', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]}",,7,False,,989967924856160256,989967924856160256,,,,,,False,en,,False,,,,5,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Losing a home to flooding is terrible, and continuing to have to pay insurance premiums on an unlivable house sold… https://t.co/ye65OhHB8V",True,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.2535440226827494,1.7748081587792457,[]
1,,,Fri Apr 27 17:36:59 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7NDAoMQVCD', 'expanded_url': 'https://twitter.com/i/web/status/989921364533501952', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,7,False,,989921364533501952,989921364533501952,,,,,,False,en,,False,,,,3,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The announcement by North and South Korea to work towards formally ending the Korean War and denuclearization is en… https://t.co/7NDAoMQVCD,True,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.4757894529268654,3.3305261704880578,[]
2,,,Thu Apr 26 23:57:20 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cedumh6ooq', 'expanded_url': 'https://twitter.com/i/web/status/989654695416385538', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,4,False,,989654695416385538,989654695416385538,,,,,,False,en,,False,,,,5,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Saturday is National Prescription Drug Take Back Day. The DEA has a number of available resources including a colle… https://t.co/cedumh6ooq,True,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.19287424438700768,0.7714969775480307,[]
3,,,Thu Apr 26 19:18:04 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'globalnews', 'name': 'Globalnews.ca', 'id': 116502194, 'id_str': '116502194', 'indices': [78, 89]}], 'urls': [{'url': 'https://t.co/Dp8KQ8gTrk', 'expanded_url': 'https://twitter.com/i/web/status/989584414714814464', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,1,False,,989584414714814464,989584414714814464,,,,,,False,en,,False,,,,3,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Canada’s unfair milk pricing scheme hurts Upstate dairy farmers. I spoke with @Globalnews to discuss how Canadian p… https://t.co/Dp8KQ8gTrk,True,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.25983804626300333,0.25983804626300333,[]
4,,,Thu Apr 26 00:18:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WaysandMeansGOP', 'name': 'Ways and Means', 'id': 12788332, 'id_str': '12788332', 'indices': [4, 20]}], 'urls': [{'url': 'https://t.co/D5trfd40ff', 'expanded_url': 'https://twitter.com/i/web/status/989297506646310912', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,0,False,,989297506646310912,989297506646310912,,,,,,False,en,,False,,,,3,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",The @WaysandMeansGOP committee today considered legislation to stop the flow of synthetic drugs through the interna… https://t.co/D5trfd40ff,True,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.6971814981789888,0.0,[]
5,,,Wed Apr 25 21:53:18 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/m58EkRXyB1', 'expanded_url': 'https://twitter.com/i/web/status/989261093624336384', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]}",,4,False,,989261093624336384,989261093624336384,,,,,,True,en,,False,"{'created_at': 'Wed Apr 25 19:11:04 +0000 2018', 'id': 989220263580635136, 'id_str': '989220263580635136', 'text': 'Congressman Faso visits Walton CSD to speak about school safety\nStory: https://t.co/mS50OuRuFP  #WaltonCSD… https://t.co/FiptKE4oca', 'truncated': True, 'entities': {'hashtags': [{'text': 'WaltonCSD', 'indices': [96, 106]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mS50OuRuFP', 'expanded_url': 'https://goo.gl/7MgKeU', 'display_url': 'goo.gl/7MgKeU', 'indices': [71, 94]}, {'url': 'https://t.co/FiptKE4oca', 'expanded_url': 'https://twitter.com/i/web/status/989220263580635136', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [108, 131]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 2535253872, 'id_str': '2535253872', 'name': 'Walton CSD', 'screen_name': 'WaltonCentral', 'location': 'Walton, New York', 'description': 'Official Twitter account of Walton Central School District.', 'url': 'http://t.co/lf3FdTlGEQ', 'entities': {'url': {'urls': [{'url': 'http://t.co/lf3FdTlGEQ', 'expanded_url': 'http://www.waltoncsd.org', 'display_url': 'waltoncsd.org', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 248, 'friends_count': 121, 'listed_count': 2, 'created_at': 'Fri May 30 15:08:10 +0000 2014', 'favourites_count': 165, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': False, 'statuses_count': 711, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/472394547784208384/dopLLMXM_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/472394547784208384/dopLLMXM_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2535253872/1512577600', 'profile_link_color': 'DB550D', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 2, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",9.892202635806351e+17,989220263580635136,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",No child or educator should feel unsafe in their own school. Thank you to Superintendent Clough and members of the… https://t.co/m58EkRXyB1,True,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,4,0.7726794227409706,3.0907176909638823,[]
6,,,Wed Apr 25 15:47:13 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheLugarCenter', 'name': 'The Lugar Center', 'id': 20444463, 'id_str': '20444463', 'indices': [1, 16]}], 'urls': [{'url': 'https://t.co/IfBEstqQ4v', 'expanded_url': 'https://twitter.com/i/web/status/989168961983074304', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,3,False,,989168961983074304,989168961983074304,,,,,,False,en,,False,,,,1,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@TheLugarCenter released its index ranking of the most bipartisan members of the House and Senate. I’ve worked har… https://t.co/IfBEstqQ4v,True,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,3,0.5644596650744965,1.6933789952234894,[]
7,,,Wed Apr 25 00:57:15 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 988944742896386048, 'id_str': '988944742896386048', 'indices': [116, 139], 'media_url': 'http://pbs.twimg.com/media/DblwAQbUQAAZwLD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DblwAQbUQAAZwLD.jpg', 'url': 'https://t.co/znXOusaJyC', 'display_url': 'pic.twitter.com/znXOusaJyC', 'expanded_url': 'https://twitter.com/RepJohnFaso/status/988944997591519232/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}}}]}","{'media': [{'id': 988944742896386048, 'id_str': '988944742896386048', 'indices': [116, 139], 'media_url': 'http://pbs.twimg.com/media/DblwAQbUQAAZwLD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DblwAQbUQAAZwLD.jpg', 'url': 'https://t.co/znXOusaJyC', 'display_url': 'pic.twitter.com/znXOusaJyC', 'expanded_url': 'https://twitter.com/RepJohnFaso/status/988944997591519232/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}}}]}",8,False,,988944997591519232,988944997591519232,,,,,,False,en,,False,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",I was honored to attend the Columbia County Honor a Vet ceremony and recognize the service of Robert and John Shaw. https://t.co/znXOusaJyC,False,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.47207107647274726,3.776568611781978,[]
8,,,Tue Apr 24 22:24:42 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pLJkIBNu02', 'expanded_url': 'https://twitter.com/i/web/status/988906606195855361', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,2,False,,988906606195855361,988906606195855361,,,,,,False,en,,False,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Last night, I participated in a community-wide opioid prevention forum at Monticello High School in Sullivan Co. Th… https://t.co/pLJkIBNu02",True,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,2,0.537283070678139,1.074566141356278,[]
9,,,Tue Apr 24 16:50:15 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WSJ', 'name': 'The Wall Street Journal', 'id': 3108351, 'id_str': '3108351', 'indices': [83, 87]}], 'urls': [{'url': 'https://t.co/45VNKbbwk1', 'expanded_url': 'https://twitter.com/i/web/status/988822440880103427', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,4,False,,988822440880103427,988822440880103427,,,,,,False,en,,False,,,,5,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","‘Don’t Gut the SNAP Program, Make it Better’ – read my letter to the editor in the @WSJ about efforts to strengthen… https://t.co/45VNKbbwk1",True,"{'id': 815931811348017152, 'id_str': '815931811348017152', 'name': 'John Faso', 'screen_name': 'RepJohnFaso', 'location': 'NY-19', 'description': ""Representing New York's 19th Congressional District"", 'url': 'https://t.co/pObyHYjCtj', 'entities': {'url': {'urls': [{'url': 'https://t.co/pObyHYjCtj', 'expanded_url': 'http://faso.house.gov', 'display_url': 'faso.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5783, 'friends_count': 132, 'listed_count': 277, 'created_at': 'Mon Jan 02 14:44:37 +0000 2017', 'favourites_count': 16, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 731, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/815931811348017152/1484151548', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,4,0.7076851935541828,2.830740774216731,[]
