,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Sun Apr 29 16:15:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PlutCIrcws', 'expanded_url': 'https://twitter.com/i/web/status/990625507048738816', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]}",,17,False,,990625507048738816,990625507048738816,,,,,,False,en,,False,,,,7,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",H.R. 4 authorizes the FAA for five years. It contains passenger protections and helps airports upgrade and improve… https://t.co/PlutCIrcws,True,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,17,0.8137032039090705,13.832954466454199,[]
1,,,Sat Apr 28 12:00:01 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChelseaSOHO', 'name': 'SoldiersHome Chelsea', 'id': 2602010010, 'id_str': '2602010010', 'indices': [52, 64]}, {'screen_name': 'DeptVetAffairs', 'name': 'Veterans Affairs', 'id': 78408666, 'id_str': '78408666', 'indices': [76, 91]}], 'urls': [{'url': 'https://t.co/KgzVafTJFM', 'expanded_url': 'https://twitter.com/i/web/status/990198951746797569', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,45,False,,990198951746797569,990198951746797569,,,,,,False,en,,False,,,,12,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",I'm happy to report that the Chelsea Soldiers’ Home @ChelseaSOHO received a @DeptVetAffairs grant to build a new Co… https://t.co/KgzVafTJFM,True,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,45,0.8922625147120398,40.15181316204179,[]
2,,,Fri Apr 27 23:22:17 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/krRoCqyWYW', 'expanded_url': 'https://twitter.com/i/web/status/990008262274748418', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,14,False,,990008262274748418,990008262274748418,,,,,,False,en,,False,,,,6,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Honoring the mission of PFLAG tonight and congratulations to Christian de Jesus Franco - the Elsie Frank scholarshi… https://t.co/krRoCqyWYW,True,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.2992279335379847,4.189191069531786,[]
3,,,Thu Apr 26 20:22:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Vets4AmerIdeals', 'name': 'Vets for American Ideals', 'id': 4181734883, 'id_str': '4181734883', 'indices': [17, 33]}], 'urls': [{'url': 'https://t.co/PyCX7x0YeY', 'expanded_url': 'https://twitter.com/i/web/status/989600503930720258', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,31,False,,989600503930720258,989600503930720258,,,,,,False,en,,False,,,,14,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Today I met with @Vets4AmerIdeals. We discussed the importance of SIVs and refugee adminissions in the US. 50,000 M… https://t.co/PyCX7x0YeY",True,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,31,0.6728122854793751,20.85718084986063,[]
4,,,Wed Apr 25 18:50:44 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BlnxIR4vJi', 'expanded_url': 'https://twitter.com/i/web/status/989215148937240577', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]}",,75,False,,989215148937240577,989215148937240577,,,,,,False,en,,,,,,21,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Trump's HUD Sec Ben Carson saw no problem wasting $31,000 in taxpayer money on a dining room set.  Now he wants to… https://t.co/BlnxIR4vJi",True,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,75,0.8004373578137626,60.03280183603219,[]
5,,,Fri Apr 20 19:23:29 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kLctvHnsAT', 'expanded_url': 'https://twitter.com/i/web/status/987411448312877058', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,34,False,,987411448312877058,987411448312877058,,,,,,False,en,,,,,,8,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Months after Hurricane Maria hit Puerto Rico, FEMA is STILL not properly managing recovery. This week FEMA told 170… https://t.co/kLctvHnsAT",True,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.20341561459427288,6.916130896205278,[]
6,,,Wed Apr 18 18:56:56 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eeJWmgwR7s', 'expanded_url': 'https://twitter.com/i/web/status/986679990421983235', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,43,False,,986679990421983235,986679990421983235,,,,,,False,en,,,,,,14,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Why make it harder for people who need help putting food on the table? The current average food stamp recipient onl… https://t.co/eeJWmgwR7s,True,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.32625814243196805,14.029100124574626,[]
7,,,Tue Apr 17 16:57:03 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9XXWhAW9iX', 'expanded_url': 'https://twitter.com/i/web/status/986287433804402693', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,32,False,,986287433804402693,986287433804402693,,,,,,False,en,,False,,,,15,False,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",At a financial services committee hearing last week I questioned Office of Management and Budget Director Mick Mulv… https://t.co/9XXWhAW9iX,True,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,32,0.5952422941692853,19.04775341341713,[]
8,,,Sun Apr 15 23:58:43 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 985668697774854145, 'id_str': '985668697774854145', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/Da3MdVUXkAEKcUv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Da3MdVUXkAEKcUv.jpg', 'url': 'https://t.co/iK8mYnE4rO', 'display_url': 'pic.twitter.com/iK8mYnE4rO', 'expanded_url': 'https://twitter.com/RepMikeCapuano/status/985668773964328960/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 810, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 810, 'h': 1080, 'resize': 'fit'}}}]}","{'media': [{'id': 985668697774854145, 'id_str': '985668697774854145', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/Da3MdVUXkAEKcUv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Da3MdVUXkAEKcUv.jpg', 'url': 'https://t.co/iK8mYnE4rO', 'display_url': 'pic.twitter.com/iK8mYnE4rO', 'expanded_url': 'https://twitter.com/RepMikeCapuano/status/985668773964328960/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 810, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 810, 'h': 1080, 'resize': 'fit'}}}]}",15,False,,985668773964328960,985668773964328960,,,,,,False,en,,False,,,,5,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","One more from the NAACP dinner, with Juan Cofield. Thanks for your leadership and activism. https://t.co/iK8mYnE4rO",False,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,15,0.9291824338548917,13.937736507823375,[]
9,,,Sun Apr 15 22:20:47 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 985644055945084928, 'id_str': '985644055945084928', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/Da22C_WVAAAwjb1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Da22C_WVAAAwjb1.jpg', 'url': 'https://t.co/z2MdhbaAct', 'display_url': 'pic.twitter.com/z2MdhbaAct', 'expanded_url': 'https://twitter.com/RepMikeCapuano/status/985644127810412545/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 810, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 810, 'resize': 'fit'}}}]}","{'media': [{'id': 985644055945084928, 'id_str': '985644055945084928', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/Da22C_WVAAAwjb1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Da22C_WVAAAwjb1.jpg', 'url': 'https://t.co/z2MdhbaAct', 'display_url': 'pic.twitter.com/z2MdhbaAct', 'expanded_url': 'https://twitter.com/RepMikeCapuano/status/985644127810412545/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 810, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 810, 'resize': 'fit'}}}]}",28,False,,985644127810412545,985644127810412545,,,,,,False,en,,False,,,,4,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Happy to support the mission of the NAACP at last night's annual dinner. https://t.co/z2MdhbaAct,False,"{'id': 747806211983179776, 'id_str': '747806211983179776', 'name': 'Rep. Michael Capuano', 'screen_name': 'RepMikeCapuano', 'location': 'Somerville, MA', 'description': ""Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84"", 'url': 'https://t.co/3ljoXJRbEf', 'entities': {'url': {'urls': [{'url': 'https://t.co/3ljoXJRbEf', 'expanded_url': 'http://capuano.house.gov', 'display_url': 'capuano.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/W9wgyLij84', 'expanded_url': 'https://www.facebook.com/RepMichaelCapuano/', 'display_url': 'facebook.com/RepMichaelCapu…', 'indices': [97, 120]}]}}, 'protected': False, 'followers_count': 8817, 'friends_count': 189, 'listed_count': 283, 'created_at': 'Tue Jun 28 14:57:49 +0000 2016', 'favourites_count': 29, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 376, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/747806211983179776/1467140418', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,28,0.8915368876698482,24.96303285475575,[]
