,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Sat Apr 28 13:28:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/h9bG9Pe8In', 'expanded_url': 'https://twitter.com/i/web/status/990221092789870593', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,1,False,,990221092789870593,990221092789870593,,,,,,False,en,,False,,,,4,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Today is National Prescription Drug Take Back Day. Please look around, and if you have any unused or expired medica… https://t.co/h9bG9Pe8In",True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.6594484837222232,0.6594484837222232,[]
1,,,Fri Apr 27 19:56:09 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/D5c1QU5i99', 'expanded_url': 'https://twitter.com/i/web/status/989956387311669252', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,42,False,,989956387311669252,989956387311669252,RepSheaPorter,9.899563860994826e+17,989956386099482626,126171100.0,126171100,False,en,,False,,,,24,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",One Member leading the search for Father Conroy’s replacement even said the next Chaplain should be someone who has… https://t.co/D5c1QU5i99,True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,42,0.6596912224883927,27.707031344512494,[]
2,,,Fri Apr 27 19:56:09 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Frl3gS49Nj', 'expanded_url': 'https://twitter.com/i/web/status/989956386099482626', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,136,False,,989956386099482626,989956386099482626,,,,,,False,en,,,,,,57,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today, three colleagues and I led 148 Members of Congress in sending a letter to Speaker Ryan asking why he fired F… https://t.co/Frl3gS49Nj",True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,136,0.8883194184718789,120.81144091217553,[]
3,,,Fri Apr 27 15:00:20 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/V7hQlrfoUG', 'expanded_url': 'https://twitter.com/i/web/status/989881940802199552', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [121, 144]}]}",,6,False,,989881940802199552,989881940802199552,,,,,,False,en,,False,,,,5,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Yesterday was Girls Inc. &amp; Tuesday’s Children Shadow Day on The Hill. Had so much fun showing Annicha, Ariella, and… https://t.co/V7hQlrfoUG",True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,6,0.8465346055018961,5.079207633011377,[]
4,,,Thu Apr 26 16:56:08 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChiefWillard', 'name': 'Chief Willard', 'id': 3358632065, 'id_str': '3358632065', 'indices': [16, 29]}], 'urls': [{'url': 'https://t.co/6ZoSMa9BE3', 'expanded_url': 'https://twitter.com/i/web/status/989548696047058944', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,12,False,,989548696047058944,989548696047058944,,,,,,False,en,,,,,,5,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Congratulations @ChiefWillard on being nominated as the next US Marshall! You’ve done a great job in Manchester. Th… https://t.co/6ZoSMa9BE3,True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,12,0.6299284358200291,7.55914122984035,[]
5,,,Wed Apr 25 22:33:09 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pCrwCCyynb', 'expanded_url': 'https://twitter.com/i/web/status/989271120288378882', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,13,False,,989271120288378882,989271120288378882,,,,,,False,en,,,,,,8,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",I am pleased that EPA recognizes the importance of the Breton’s Cleaners Brownfield project and will be providing a… https://t.co/pCrwCCyynb,True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,13,0.6512675016596823,8.46647752157587,[]
6,,,Wed Apr 25 21:11:36 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BVHx71bmXO', 'expanded_url': 'https://twitter.com/i/web/status/989250599530221570', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,1,False,,989250599530221570,989250599530221570,,,,,,False,en,,False,,,,3,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","We can't keep using dangerous fire fighting foam that contains PFCs, and which continues to contaminate bases and g… https://t.co/BVHx71bmXO",True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.6536874529190669,0.6536874529190669,[]
7,,,Wed Apr 25 20:15:40 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5h1oQtrUUu', 'expanded_url': 'https://twitter.com/i/web/status/989236520786776064', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,9,False,,989236520786776064,989236520786776064,,,,,,False,en,,False,,,,6,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",I am so pleased that this year’s National Defense Authorization Act will include nearly $150 million for the Portsm… https://t.co/5h1oQtrUUu,True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.42369277158861657,3.813234944297549,[]
8,,,Tue Apr 24 18:56:24 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SsCAzbeQDL', 'expanded_url': 'https://twitter.com/i/web/status/988854185180442624', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [125, 148]}]}",,22,False,,988854185180442624,988854185180442624,,,,,,False,en,,False,,,,11,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",We owe it to our states &amp; local governments to ensure they are prepared with the knowledge &amp; know-how to mitigate t… https://t.co/SsCAzbeQDL,True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.35355450731849,7.778199161006779,[]
9,,,Fri Apr 20 17:33:11 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xj7jNc58tW', 'expanded_url': 'https://twitter.com/i/web/status/987383692342583301', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,16,False,,987383692342583301,987383692342583301,,,,,,False,en,,,,,,5,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","19 years ago, 12 students and a teacher were killed at Columbine High School. Today, young people across the nation… https://t.co/xj7jNc58tW",True,"{'id': 126171100, 'id_str': '126171100', 'name': 'Rep. Shea-Porter', 'screen_name': 'RepSheaPorter', 'location': '', 'description': ""Proudly serving New Hampshire's First District in the U.S. House of Representatives.\r\nhttps://t.co/fHOFp4xW"", 'url': 'http://t.co/9YOfQg1H', 'entities': {'url': {'urls': [{'url': 'http://t.co/9YOfQg1H', 'expanded_url': 'http://shea-porter.house.gov', 'display_url': 'shea-porter.house.gov', 'indices': [0, 20]}]}, 'description': {'urls': [{'url': 'https://t.co/fHOFp4xW', 'expanded_url': 'https://www.facebook.com/RepSheaPorter', 'display_url': 'facebook.com/RepSheaPorter', 'indices': [86, 107]}]}}, 'protected': False, 'followers_count': 6457, 'friends_count': 461, 'listed_count': 322, 'created_at': 'Thu Mar 25 01:42:47 +0000 2010', 'favourites_count': 22, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 1232, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000041604974/14eec3803d2ed633d7030bfff12eb3a4.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000375930010/33c928842c919e4f731fea6fee822865_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/126171100/1357765993', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,16,0.7132521459016673,11.412034334426677,[]
