,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Wed Apr 18 13:37:18 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CNNMoney', 'name': 'CNNMoney', 'id': 16184358, 'id_str': '16184358', 'indices': [109, 118]}], 'urls': [{'url': 'https://t.co/TVl8JJlYmK', 'expanded_url': 'https://cnnmon.ie/2EV3NqP', 'display_url': 'cnnmon.ie/2EV3NqP', 'indices': [81, 104]}]}",,2,False,,986599552445833216,986599552445833216,,,,,,False,en,,False,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ICYMI: The IRS is giving taxpayers an extra day to file due to computer glitches https://t.co/TVl8JJlYmK via @CNNMoney,False,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.3743850748474771,0.7487701496949541,[]
1,,,Wed Apr 11 14:33:52 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,1,False,,984077075668721664,984077075668721664,,,,,,False,en,,,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I look forward to helping the Committee reform the IRS, hold this agency accountable, and put hardworking American taxpayers FIRST.",False,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.7804253823485153,0.7804253823485153,[]
2,,,Wed Apr 11 14:33:36 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kmXQ7gaswH', 'expanded_url': 'https://twitter.com/i/web/status/984077007393669120', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]}",,0,False,,984077007393669120,984077007393669120,,,,,,False,en,,,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Clearly, the IRS Oversight Board no longer serves a purpose and deserves to be eliminated.  Especially since other… https://t.co/kmXQ7gaswH",True,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.405071229579637,0.0,[]
3,,,Wed Apr 11 14:33:18 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FOXyz1Qdpd', 'expanded_url': 'https://twitter.com/i/web/status/984076932202541064', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,0,False,,984076932202541064,984076932202541064,,,,,,False,en,,,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","While the IRS Oversight Board was designed to operate like a corporate board for a business, it NEVER functioned as… https://t.co/FOXyz1Qdpd",True,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.5353734961372068,0.0,[]
4,,,Wed Apr 11 14:32:54 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Rip1uQvGFh', 'expanded_url': 'https://twitter.com/i/web/status/984076829547024384', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,1,False,,984076829547024384,984076829547024384,,,,,,False,en,,,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","As a longtime advocate to stop waste and reduce the size of government, I’m pleased that H.R. 5444 includes my prop… https://t.co/Rip1uQvGFh",True,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.30929638149016353,0.30929638149016353,[]
5,,,Wed Apr 11 14:09:22 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WaysandMeansGOP', 'name': 'Ways and Means', 'id': 12788332, 'id_str': '12788332', 'indices': [12, 28]}], 'urls': [{'url': 'https://t.co/r0OcQLyZd8', 'expanded_url': 'https://waysandmeans.house.gov/live/', 'display_url': 'waysandmeans.house.gov/live/', 'indices': [99, 122]}]}",,0,False,,984070908414394368,984070908414394368,,,,,,False,en,,False,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",WATCH LIVE: @WaysandMeansGOP Full Committee markup of bills to better serve and protect taxpayers  https://t.co/r0OcQLyZd8,False,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.8203241751107193,0.0,[]
6,,,Fri Mar 23 15:58:42 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RqpCKbJBMB', 'expanded_url': 'https://twitter.com/i/web/status/977213052209827842', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,6,False,,977213052209827842,977213052209827842,,,,,,True,en,,False,"{'created_at': 'Tue Mar 20 20:20:47 +0000 2018', 'id': 976191844848685057, 'id_str': '976191844848685057', 'text': 'Col. Chuck Booze of the U.S. Army has been deployed in Ukraine for the past 9 months. His daughter, Trinity, had no… https://t.co/AkOSqocJx3', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AkOSqocJx3', 'expanded_url': 'https://twitter.com/i/web/status/976191844848685057', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 902886984573702144, 'id_str': '902886984573702144', 'name': 'Allen ISD', 'screen_name': 'allen_isd', 'location': 'Allen, TX', 'description': 'The official Twitter account of Allen Independent School District. Located 20 miles north of Dallas, TX. Where Eagles Soar!', 'url': 'https://t.co/RF8XNlL8Kb', 'entities': {'url': {'urls': [{'url': 'https://t.co/RF8XNlL8Kb', 'expanded_url': 'http://www.allenisd.org', 'display_url': 'allenisd.org', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1305, 'friends_count': 132, 'listed_count': 3, 'created_at': 'Wed Aug 30 13:33:26 +0000 2017', 'favourites_count': 224, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 531, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/902888714149310464/P7RkVpBQ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/902888714149310464/P7RkVpBQ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/902886984573702144/1524840231', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 79, 'favorite_count': 432, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",9.76191844848685e+17,976191844848685057,5,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Welcome Home Col. Chuck Booze.  Your North Texas neighbors are grateful for your service and sacrifice in defense o… https://t.co/RqpCKbJBMB,True,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,6,0.7013319588542363,4.207991753125418,[]
7,,,Thu Mar 22 14:14:05 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rjUdpllpLP', 'expanded_url': 'https://twitter.com/i/web/status/976824336672854017', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,0,False,,976824336672854017,976824336672854017,,,,,,False,en,,False,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","He mentioned a snippet of the DoD memo discussing national security, dismissing the CONCLUDING idea that steel or a… https://t.co/rjUdpllpLP",True,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.7604535289040881,0.0,[]
8,,,Thu Mar 22 14:13:15 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,4,False,,976824128241094656,976824128241094656,,,,,,False,en,,,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",I asked Secretary Ross why he and the Administration ignored the view of Secretary Mattis and proceeded with the tariffs...,False,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,4,0.7036153841005703,2.8144615364022814,[]
9,,,Thu Mar 22 13:33:35 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WqCaqTRxRq', 'expanded_url': 'https://twitter.com/i/web/status/976814146627960832', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]}",,1,False,,976814146627960832,976814146627960832,,,,,,False,en,,,,,,2,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Secretary Mattis even wrote to Secretary Ross that the DoD doesn’t believe “the findings in the reports impact the… https://t.co/WqCaqTRxRq,True,"{'id': 249288197, 'id_str': '249288197', 'name': 'Sam Johnson', 'screen_name': 'SamsPressShop', 'location': 'Third District of Texas', 'description': 'Faithfully serving the Third Congressional District of Texas.', 'url': 'http://t.co/16udr7zv3r', 'entities': {'url': {'urls': [{'url': 'http://t.co/16udr7zv3r', 'expanded_url': 'http://samjohnson.house.gov', 'display_url': 'samjohnson.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 10693, 'friends_count': 138, 'listed_count': 611, 'created_at': 'Tue Feb 08 19:01:18 +0000 2011', 'favourites_count': 15, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1151, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'D51507', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/862041835/be48c838464ad1d0ab01e510a0e4e4cb.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1238704702/CSJ41303WylieRallyCsjCloser_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/249288197/1412864117', 'profile_link_color': '0B1291', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1,0.6478375394240627,0.6478375394240627,[]
