,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Wed Apr 18 01:03:14 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cLJjNCikrh', 'expanded_url': 'https://twitter.com/i/web/status/986409786819469313', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,1503,False,,986409786819469313,986409786819469313,,,,,,False,en,,,,,,155,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Barbara Bush lived an extraordinary life of devotion, love, and laughter. She was a blessing to the First Family an… https://t.co/cLJjNCikrh",True,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1503,0.7908067873109217,1188.5826013283154,[]
1,,,Thu Apr 12 16:47:29 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oG8KaiHwg3', 'expanded_url': 'https://twitter.com/i/web/status/984473089546375168', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,792,False,,984473089546375168,984473089546375168,,,,,,False,en,,False,,,,349,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",It is good news that today the President directed Larry Kudlow and Ambassador Lighthizer to negotiate U.S. entry in… https://t.co/oG8KaiHwg3,True,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,792,0.9321240850274751,738.2422753417603,[]
2,,,Thu Apr 12 16:29:18 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'markknoller', 'name': 'Mark Knoller', 'id': 31127446, 'id_str': '31127446', 'indices': [3, 15]}, {'screen_name': 'SenSasse', 'name': 'Senator Ben Sasse', 'id': 2962923040, 'id_str': '2962923040', 'indices': [68, 77]}, {'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [83, 89]}], 'urls': []}",,0,False,,984468511975198721,984468511975198721,,,,,,False,en,,,,,,136,False,"{'created_at': 'Thu Apr 12 16:27:02 +0000 2018', 'id': 984467940996247552, 'id_str': '984467940996247552', 'text': 'Emerging from WH meeting on trade and agriculture, @SenSasse said @POTUS directed Trade Rep Lighthizer and Econ Adv… https://t.co/XNlDwQwb7T', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SenSasse', 'name': 'Senator Ben Sasse', 'id': 2962923040, 'id_str': '2962923040', 'indices': [51, 60]}, {'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [66, 72]}], 'urls': [{'url': 'https://t.co/XNlDwQwb7T', 'expanded_url': 'https://twitter.com/i/web/status/984467940996247552', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 31127446, 'id_str': '31127446', 'name': 'Mark Knoller', 'screen_name': 'markknoller', 'location': 'Washington, D.C.', 'description': 'CBS News White House Correspondent', 'url': 'http://t.co/BCxDdZjO0a', 'entities': {'url': {'urls': [{'url': 'http://t.co/BCxDdZjO0a', 'expanded_url': 'http://cbsnews.com', 'display_url': 'cbsnews.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 319072, 'friends_count': 1995, 'listed_count': 9150, 'created_at': 'Tue Apr 14 14:01:03 +0000 2009', 'favourites_count': 16, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 122706, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0A0B0F', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000073399059/930f3854cf1b11ca9a6037afb2650ae9.jpeg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000073399059/930f3854cf1b11ca9a6037afb2650ae9.jpeg', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/137394623/knoller_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/137394623/knoller_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/31127446/1358276248', 'profile_link_color': 'DD4020', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EAEDF0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 136, 'favorite_count': 237, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @markknoller: Emerging from WH meeting on trade and agriculture, @SenSasse said @POTUS directed Trade Rep Lighthizer and Econ Advisor Ku…",False,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,0,0.6344325615229652,0.0,[]
3,,,Wed Apr 11 22:41:28 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NDSS', 'name': 'NDSS', 'id': 139782438, 'id_str': '139782438', 'indices': [11, 16]}], 'urls': [{'url': 'https://t.co/JSOpa3Y4oP', 'expanded_url': 'https://twitter.com/i/web/status/984199782020341765', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,570,False,,984199782020341765,984199782020341765,,,,,,False,en,,False,,,,97,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thank you, @NDSS, for bringing the voices of Macy, Clay, and Alijah to Capitol Hill. These kids have a lot to teach… https://t.co/JSOpa3Y4oP",True,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,570,0.937287647715865,534.253959198043,[]
4,,,Wed Apr 11 00:18:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pQsUMuhgU1', 'expanded_url': 'https://twitter.com/i/web/status/983861688154849280', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,5644,False,,983861688154849280,983861688154849280,,,,,,False,en,,False,,,,1769,False,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Facebook is a really big and powerful platform. Their decisions on how to police speech will have far-reaching cons… https://t.co/pQsUMuhgU1,True,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.4068490702808303,2296.256152665006,[]
5,,,Wed Apr 04 16:12:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2tq5ILUZmd', 'expanded_url': 'https://twitter.com/i/web/status/981565055912239106', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]}",,320,False,,981565055912239106,981565055912239106,,,,,,False,en,,False,,,,119,False,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Dr. Martin Luther King, Jr. persevered, even unto death, in asserting the god-given rights of all Americans.

Read… https://t.co/2tq5ILUZmd",True,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,320,0.8482758761476579,271.4482803672505,[]
6,,,Sun Mar 25 11:33:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hb9aMIJQjk', 'expanded_url': 'https://twitter.com/i/web/status/977870964057784320', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,1955,False,,977870964057784320,977870964057784320,,,,,,False,en,,False,,,,584,False,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","He single-handedly saved millions from starvation, but most people haven’t heard of him. Today we honor Norman Borl… https://t.co/hb9aMIJQjk",True,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,1955,0.5145324242322991,1005.9108893741446,[]
7,,,Fri Mar 23 00:35:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6u0bnDJz1U', 'expanded_url': 'https://twitter.com/i/web/status/976980597045280768', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [121, 144]}]}",,381,False,,976980597045280768,976980597045280768,,,,,,False,en,,False,,,,128,False,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Lots of folks in politics &amp; the media are misconstruing trade. When we talk about trade, we should remember these s… https://t.co/6u0bnDJz1U",True,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,381,0.7905542110758725,301.2011544199074,[]
8,,,Thu Mar 22 10:57:07 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OUDLOZzwlE', 'expanded_url': 'https://twitter.com/i/web/status/976774772150456320', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,15708,False,,976774772150456320,976774772150456320,,,,,,True,en,,False,"{'created_at': 'Thu Mar 22 10:19:57 +0000 2018', 'id': 976765417908776963, 'id_str': '976765417908776963', 'text': 'Crazy Joe Biden is trying to act like a tough guy. Actually, he is weak, both mentally and physically, and yet he t… https://t.co/4e33ZxnAw7', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4e33ZxnAw7', 'expanded_url': 'https://twitter.com/i/web/status/976765417908776963', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 25073877, 'id_str': '25073877', 'name': 'Donald J. Trump', 'screen_name': 'realDonaldTrump', 'location': 'Washington, DC', 'description': '45th President of the United States of America🇺🇸', 'url': 'https://t.co/OMxB0x7xC5', 'entities': {'url': {'urls': [{'url': 'https://t.co/OMxB0x7xC5', 'expanded_url': 'http://www.Instagram.com/realDonaldTrump', 'display_url': 'Instagram.com/realDonaldTrump', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 51349952, 'friends_count': 46, 'listed_count': 87210, 'created_at': 'Wed Mar 18 13:46:38 +0000 2009', 'favourites_count': 24, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': True, 'verified': True, 'statuses_count': 37442, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': '6D5C18', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/530021613/trump_scotland__43_of_70_cc.jpg', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25073877/1524862696', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'BDDCAD', 'profile_sidebar_fill_color': 'C5CEC0', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 74930, 'favorite_count': 257226, 'favorited': False, 'retweeted': False, 'lang': 'en'}",9.76765417908777e+17,976765417908776963,4881,False,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Total dysfunction. DC is about to add 1.3 TRILLION $ to your debt like it’s no big deal - and meanwhile both of our… https://t.co/OUDLOZzwlE,True,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,15708,0.81304101415491,12771.248250345327,[]
9,,,Wed Mar 21 16:37:28 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VGqsYrWivj', 'expanded_url': 'https://www.facebook.com/SenatorSasse/photos/a.730973980333883.1073741829.709959352435346/1544295959001677/', 'display_url': 'facebook.com/SenatorSasse/p…', 'indices': [87, 110]}, {'url': 'https://t.co/OEAMe7esaK', 'expanded_url': 'https://twitter.com/i/web/status/976498033918730240', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,578,False,,976498033918730240,976498033918730240,,,,,,False,en,,False,,,,118,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thinking of these four kids, and so many others, on World Down Syndrome Awareness Day: https://t.co/VGqsYrWivj

Dig… https://t.co/OEAMe7esaK",True,"{'id': 2962923040, 'id_str': '2962923040', 'name': 'Senator Ben Sasse', 'screen_name': 'SenSasse', 'location': '', 'description': 'The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 105595, 'friends_count': 1, 'listed_count': 1427, 'created_at': 'Mon Jan 05 22:39:56 +0000 2015', 'favourites_count': 0, 'utc_offset': -14400, 'time_zone': 'Eastern Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 869, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/552233907337179138/D7idMyaS_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962923040/1445881489', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,578,0.5040827765332034,291.3598448361916,[]
