,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,truncated,user,preds,w_preds,pos_proba,w_pos_proba,hashtags
0,,,Sat Apr 28 22:13:00 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3RzZGhHQFq', 'expanded_url': 'https://twitter.com/i/web/status/990353214133473280', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,103,False,,990353214133473280,990353214133473280,,,,,,False,en,,,,,,18,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I want to personally thank all of the firefighters and public safety officials who responded to the massive explosi… https://t.co/3RzZGhHQFq,True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,103,0.6620849062453514,68.1947453432712,[]
1,,,Sat Apr 28 21:49:24 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0lKrfs9heg', 'expanded_url': 'https://twitter.com/i/web/status/990347272943751171', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]}",,34,False,,990347272943751171,990347272943751171,,,,,,False,en,,,,,,12,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I believe that all workers have the right to a safe workplace. As we honor workers who have been killed or injured… https://t.co/0lKrfs9heg,True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.37261204508911655,12.668809533029963,[]
2,,,Sat Apr 28 15:56:19 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u0CqY0lGuG', 'expanded_url': 'https://twitter.com/i/web/status/990258416798093319', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,35,False,,990258416798093319,990258416798093319,SenTinaSmith,9.902581936484966e+17,990258193648496640,9.410006862753874e+17,941000686275387392,False,en,,,,,,17,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The Trump Administration has proposed closing the lab in Morris, and I’m fighting back against these efforts becaus… https://t.co/u0CqY0lGuG",True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.3813344140572179,13.346704492002626,[]
3,,,Sat Apr 28 15:55:26 +0000 2018,"{'hashtags': [{'text': 'FarmBill', 'indices': [25, 34]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gYiz9pxt8m', 'expanded_url': 'https://twitter.com/i/web/status/990258193648496640', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,33,False,,990258193648496640,990258193648496640,,,,,,False,en,,False,,,,10,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Yesterday I continued my #FarmBill listening tour at North Central Soil Conservation Research Lab in Morris to gath… https://t.co/gYiz9pxt8m,True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,33,0.5854781210844036,19.320777995785317,['FarmBill']
4,,,Fri Apr 27 20:32:54 +0000 2018,"{'hashtags': [{'text': 'FarmBill', 'indices': [4, 13]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/auoUdo8UOi', 'expanded_url': 'https://twitter.com/i/web/status/989965633482903553', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,35,False,,989965633482903553,989965633482903553,,,,,,False,en,,False,,,,16,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The #FarmBill needs to have strong farm programs—crop insurance, safety net programs, conservation—and good nutriti… https://t.co/auoUdo8UOi",True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,35,0.8576746000440322,30.018611001541124,['FarmBill']
5,,,Fri Apr 27 17:03:40 +0000 2018,"{'hashtags': [{'text': 'OneMoreVote', 'indices': [81, 93]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9pNFFHWJGt', 'expanded_url': 'https://twitter.com/i/web/status/989912977146105856', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [111, 134]}]}",,41,False,,989912977146105856,989912977146105856,SenTinaSmith,9.899129743275336e+17,989912974327533570,9.410006862753874e+17,941000686275387392,False,en,,,,,,18,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I look forward to continuing this conversation in Washington, where we only need #OneMoreVote to help restore… https://t.co/9pNFFHWJGt",True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,41,0.7460178653996914,30.586732481387347,['OneMoreVote']
6,,,Fri Apr 27 17:03:39 +0000 2018,"{'hashtags': [{'text': 'NetNeutrality', 'indices': [63, 77]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SenMarkey', 'name': 'Ed Markey', 'id': 21406834, 'id_str': '21406834', 'indices': [1, 11]}], 'urls': [{'url': 'https://t.co/uSb4mMSwpY', 'expanded_url': 'https://twitter.com/i/web/status/989912974327533570', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,42,False,,989912974327533570,989912974327533570,SenTinaSmith,9.899129713746698e+17,989912971374669829,9.410006862753874e+17,941000686275387392,False,en,,False,,,,18,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@SenMarkey showed us a fast food commercial that explains why #NetNeutrality matters. In it, burgers were served s… https://t.co/uSb4mMSwpY",True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,42,0.5238060415022847,21.999853743095958,['NetNeutrality']
7,,,Fri Apr 27 17:03:38 +0000 2018,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nzk8s52Vkj', 'expanded_url': 'https://twitter.com/i/web/status/989912971374669829', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,31,False,,989912971374669829,989912971374669829,SenTinaSmith,9.899129700367606e+17,989912970036760576,9.410006862753874e+17,941000686275387392,False,en,,False,,,,21,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today I heard from local businesses, educators, and technology experts about how important a free and open internet… https://t.co/nzk8s52Vkj",True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.31987908007592464,9.916251482353664,[]
8,,,Fri Apr 27 17:03:38 +0000 2018,"{'hashtags': [{'text': 'NetNeutrality', 'indices': [25, 39]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FCC', 'name': 'The FCC', 'id': 66369206, 'id_str': '66369206', 'indices': [4, 8]}], 'urls': [{'url': 'https://t.co/S0IWwfUjFH', 'expanded_url': 'https://twitter.com/i/web/status/989912970036760576', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,10,False,,989912970036760576,989912970036760576,SenTinaSmith,9.899129687196672e+17,989912968719667200,9.410006862753874e+17,941000686275387392,False,en,,,,,,8,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The @FCC’s move to scrap #NetNeutrality protections earlier this year means that giant corporations can pick how fa… https://t.co/S0IWwfUjFH,True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",0,0,0.3762467723114104,3.762467723114104,['NetNeutrality']
9,,,Fri Apr 27 17:03:38 +0000 2018,"{'hashtags': [{'text': 'NetNeutrality', 'indices': [50, 64]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mZo8qYmTKh', 'expanded_url': 'https://twitter.com/i/web/status/989912968719667200', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]}",,115,False,,989912968719667200,989912968719667200,,,,,,False,en,,,,,,29,False,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I’m backing the effort to restore protections for #NetNeutrality—the important principle that what we read, view, a… https://t.co/mZo8qYmTKh",True,"{'id': 941000686275387392, 'id_str': '941000686275387392', 'name': 'Tina Smith', 'screen_name': 'SenTinaSmith', 'location': '', 'description': 'Official account of U.S. Senator Tina Smith of Minnesota.\n\nMore here: https://t.co/9tIuJLpMr0\n\nhttps://t.co/ijpKqkvEVA', 'url': None, 'entities': {'description': {'urls': [{'url': 'https://t.co/9tIuJLpMr0', 'expanded_url': 'https://www.facebook.com/USSenTinaSmith/', 'display_url': 'facebook.com/USSenTinaSmith/', 'indices': [70, 93]}, {'url': 'https://t.co/ijpKqkvEVA', 'expanded_url': 'https://www.smith.senate.gov', 'display_url': 'smith.senate.gov', 'indices': [95, 118]}]}}, 'protected': False, 'followers_count': 25339, 'friends_count': 363, 'listed_count': 274, 'created_at': 'Wed Dec 13 17:43:41 +0000 2017', 'favourites_count': 9, 'utc_offset': -25200, 'time_zone': 'Pacific Time (US & Canada)', 'geo_enabled': False, 'verified': True, 'statuses_count': 1027, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/951229723941752833/cz1YSD5Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/941000686275387392/1519410365', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",1,115,0.7743335958520747,89.0483635229886,['NetNeutrality']
